idSaldoMensual;anio;mes;moto_total;cliente_id  1;tipoInversion_id
1;2018;1;4125182;1;4
2;2018;2;12659399;1;2
3;2018;2;5566882;1;3
4;2018;2;5030380;1;4
5;2018;3;8206993;1;2
6;2018;3;2515214;1;3
7;2018;4;2515092;1;4
8;2018;5;2515123;1;2
9;2018;5;2515280;1;3
10;2018;1;2515165;2;1
11;2018;1;2691576;2;3
12;2018;1;3567548;2;4
13;2018;2;4965920;2;3
14;2018;3;2515231;2;1
15;2018;3;4573576;2;2
16;2018;3;2515202;2;3
17;2018;3;2575650;2;4
18;2018;4;2515252;2;1
19;2018;4;5030348;2;2
20;2018;5;2515266;2;2
21;2018;5;2515140;2;3
22;2018;1;9100548;3;3
23;2018;1;3977122;3;4
24;2018;2;2515175;3;1
25;2018;2;2515196;3;2
26;2018;3;2515206;3;3
27;2018;3;2515229;3;4
28;2018;4;8928222;3;2
29;2018;5;2515281;3;2
30;2018;5;5030537;3;4
31;2018;1;2515146;4;3
32;2018;2;2515182;4;1
33;2018;2;2515179;4;2
34;2018;3;1382788;4;1
35;2018;3;3671098;4;3
36;2018;4;9781108;4;1
37;2018;4;7545590;4;2
38;2018;4;2515245;4;3
39;2018;5;7545358;4;1
40;2018;5;2515273;4;3
41;2018;5;2515270;4;4
42;2018;1;2176721;5;3
43;2018;1;2515142;5;4
44;2018;2;9944828;5;1
45;2018;2;2515198;5;3
46;2018;3;3533595;5;2
47;2018;3;5030449;5;3
48;2018;4;2515257;5;1
49;2018;4;2515104;5;2
50;2018;4;2747965;5;3
51;2018;5;2515116;5;3
52;2018;5;2515263;5;4
53;2018;1;2515160;6;1
54;2018;1;1239393;6;4
55;2018;2;5417060;6;3
56;2018;3;3342214;6;1
57;2018;3;10040461;6;2
58;2018;3;2515225;6;3
59;2018;4;7047087;6;2
60;2018;5;2515267;6;2
61;2018;5;5030235;6;3
62;2018;1;7611620;7;2
63;2018;3;12978760;7;2
64;2018;3;2515218;7;3
65;2018;4;2515106;7;2
66;2018;4;2515251;7;4
67;2018;5;2515136;7;1
68;2018;5;2515117;7;2
69;2018;5;5030401;7;3
70;2018;5;10060818;7;4
71;2018;1;2515159;8;1
